date,year,month,dmi
1870-01-01,1870,1,-0.438
1870-02-01,1870,2,-0.337
1870-03-01,1870,3,0.177
1870-04-01,1870,4,-0.048
1870-05-01,1870,5,-0.48
1870-06-01,1870,6,-0.548
1870-07-01,1870,7,-0.65
1870-08-01,1870,8,-0.522
1870-09-01,1870,9,-0.728
1870-10-01,1870,10,-0.636
1870-11-01,1870,11,-0.401
1870-12-01,1870,12,-0.376
1871-01-01,1871,1,-0.273
1871-02-01,1871,2,-0.17
1871-03-01,1871,3,-0.212
1871-04-01,1871,4,-0.148
1871-05-01,1871,5,-0.115
1871-06-01,1871,6,-0.163
1871-07-01,1871,7,-0.444
1871-08-01,1871,8,-0.375
1871-09-01,1871,9,-0.336
1871-10-01,1871,10,-0.527
1871-11-01,1871,11,-0.217
1871-12-01,1871,12,-0.229
1872-01-01,1872,1,-0.037
1872-02-01,1872,2,0.041
1872-03-01,1872,3,-0.075
1872-04-01,1872,4,-0.083
1872-05-01,1872,5,-0.148
1872-06-01,1872,6,-0.083
1872-07-01,1872,7,-0.285
1872-08-01,1872,8,-0.325
1872-09-01,1872,9,-0.333
1872-10-01,1872,10,-0.27
1872-11-01,1872,11,-0.106
1872-12-01,1872,12,-0.11
1873-01-01,1873,1,0.063
1873-02-01,1873,2,-0.319
1873-03-01,1873,3,-0.404
1873-04-01,1873,4,-0.272
1873-05-01,1873,5,-0.411
1873-06-01,1873,6,-0.587
1873-07-01,1873,7,-0.69
1873-08-01,1873,8,-0.8
1873-09-01,1873,9,-0.694
1873-10-01,1873,10,-0.479
1873-11-01,1873,11,-0.353
1873-12-01,1873,12,-0.303
1874-01-01,1874,1,-0.381
1874-02-01,1874,2,-0.388
1874-03-01,1874,3,-0.586
1874-04-01,1874,4,-0.753
1874-05-01,1874,5,-0.441
1874-06-01,1874,6,-0.465
1874-07-01,1874,7,-0.338
1874-08-01,1874,8,-0.344
1874-09-01,1874,9,-0.814
1874-10-01,1874,10,-1.158
1874-11-01,1874,11,-0.603
1874-12-01,1874,12,-0.79
1875-01-01,1875,1,-0.449
1875-02-01,1875,2,-0.187
1875-03-01,1875,3,-0.098
1875-04-01,1875,4,0.029
1875-05-01,1875,5,-0.135
1875-06-01,1875,6,-0.093
1875-07-01,1875,7,-0.511
1875-08-01,1875,8,-0.248
1875-09-01,1875,9,-0.396
1875-10-01,1875,10,-0.658
1875-11-01,1875,11,-0.89
1875-12-01,1875,12,-0.46
1876-01-01,1876,1,-0.361
1876-02-01,1876,2,-0.504
1876-03-01,1876,3,-0.402
1876-04-01,1876,4,-0.476
1876-05-01,1876,5,-0.472
1876-06-01,1876,6,-0.423
1876-07-01,1876,7,-0.391
1876-08-01,1876,8,-0.267
1876-09-01,1876,9,-0.079
1876-10-01,1876,10,-0.213
1876-11-01,1876,11,-0.358
1876-12-01,1876,12,-0.297
1877-01-01,1877,1,-0.311
1877-02-01,1877,2,0.367
1877-03-01,1877,3,0.13
1877-04-01,1877,4,-0.28
1877-05-01,1877,5,-0.684
1877-06-01,1877,6,-0.49
1877-07-01,1877,7,-0.587
1877-08-01,1877,8,0.214
1877-09-01,1877,9,0.52
1877-10-01,1877,10,0.417
1877-11-01,1877,11,0.558
1877-12-01,1877,12,0.154
1878-01-01,1878,1,-0.261
1878-02-01,1878,2,-0.398
1878-03-01,1878,3,-0.015
1878-04-01,1878,4,-0.085
1878-05-01,1878,5,-0.354
1878-06-01,1878,6,-0.311
1878-07-01,1878,7,-0.383
1878-08-01,1878,8,-0.272
1878-09-01,1878,9,-0.208
1878-10-01,1878,10,-0.674
1878-11-01,1878,11,-0.461
1878-12-01,1878,12,-0.471
1879-01-01,1879,1,-0.428
1879-02-01,1879,2,-0.417
1879-03-01,1879,3,-0.453
1879-04-01,1879,4,-0.542
1879-05-01,1879,5,-0.513
1879-06-01,1879,6,-0.274
1879-07-01,1879,7,-0.374
1879-08-01,1879,8,-0.64
1879-09-01,1879,9,-0.59
1879-10-01,1879,10,-0.789
1879-11-01,1879,11,-0.761
1879-12-01,1879,12,-0.605
1880-01-01,1880,1,-0.463
1880-02-01,1880,2,-0.262
1880-03-01,1880,3,-0.327
1880-04-01,1880,4,0.002
1880-05-01,1880,5,-0.14
1880-06-01,1880,6,-0.3
1880-07-01,1880,7,-0.528
1880-08-01,1880,8,-0.586
1880-09-01,1880,9,-0.574
1880-10-01,1880,10,-0.755
1880-11-01,1880,11,-0.553
1880-12-01,1880,12,-0.348
1881-01-01,1881,1,-0.174
1881-02-01,1881,2,-0.507
1881-03-01,1881,3,-0.349
1881-04-01,1881,4,-0.45
1881-05-01,1881,5,-0.14
1881-06-01,1881,6,0.179
1881-07-01,1881,7,-0.116
1881-08-01,1881,8,-0.078
1881-09-01,1881,9,-0.298
1881-10-01,1881,10,-0.462
1881-11-01,1881,11,-0.376
1881-12-01,1881,12,-0.496
1882-01-01,1882,1,-0.558
1882-02-01,1882,2,-0.68
1882-03-01,1882,3,-0.149
1882-04-01,1882,4,-0.134
1882-05-01,1882,5,-0.068
1882-06-01,1882,6,-0.071
1882-07-01,1882,7,-0.233
1882-08-01,1882,8,-0.496
1882-09-01,1882,9,-0.652
1882-10-01,1882,10,-0.51
1882-11-01,1882,11,-0.377
1882-12-01,1882,12,-0.431
1883-01-01,1883,1,-0.706
1883-02-01,1883,2,-0.207
1883-03-01,1883,3,-0.303
1883-04-01,1883,4,-0.127
1883-05-01,1883,5,-0.19
1883-06-01,1883,6,-0.084
1883-07-01,1883,7,-0.288
1883-08-01,1883,8,-0.125
1883-09-01,1883,9,-0.502
1883-10-01,1883,10,-0.348
1883-11-01,1883,11,-0.359
1883-12-01,1883,12,-0.325
1884-01-01,1884,1,-0.408
1884-02-01,1884,2,-0.183
1884-03-01,1884,3,-0.312
1884-04-01,1884,4,0.075
1884-05-01,1884,5,0.249
1884-06-01,1884,6,-0.203
1884-07-01,1884,7,-0.003
1884-08-01,1884,8,-0.306
1884-09-01,1884,9,-0.471
1884-10-01,1884,10,-0.368
1884-11-01,1884,11,-0.474
1884-12-01,1884,12,-0.417
1885-01-01,1885,1,-0.463
1885-02-01,1885,2,-0.09
1885-03-01,1885,3,-0.169
1885-04-01,1885,4,-0.198
1885-05-01,1885,5,-0.199
1885-06-01,1885,6,-0.13
1885-07-01,1885,7,-0.218
1885-08-01,1885,8,-0.229
1885-09-01,1885,9,-0.351
1885-10-01,1885,10,-0.219
1885-11-01,1885,11,-0.475
1885-12-01,1885,12,-0.385
1886-01-01,1886,1,-0.613
1886-02-01,1886,2,-0.766
1886-03-01,1886,3,-0.455
1886-04-01,1886,4,-0.282
1886-05-01,1886,5,-0.445
1886-06-01,1886,6,-0.347
1886-07-01,1886,7,-0.725
1886-08-01,1886,8,-0.918
1886-09-01,1886,9,-0.989
1886-10-01,1886,10,-0.897
1886-11-01,1886,11,-0.684
1886-12-01,1886,12,-0.56
1887-01-01,1887,1,-0.459
1887-02-01,1887,2,-0.389
1887-03-01,1887,3,-0.282
1887-04-01,1887,4,-0.258
1887-05-01,1887,5,-0.291
1887-06-01,1887,6,-0.172
1887-07-01,1887,7,-0.233
1887-08-01,1887,8,-0.01
1887-09-01,1887,9,-0.286
1887-10-01,1887,10,-0.517
1887-11-01,1887,11,-0.289
1887-12-01,1887,12,-0.295
1888-01-01,1888,1,-0.34
1888-02-01,1888,2,-0.603
1888-03-01,1888,3,-0.733
1888-04-01,1888,4,-0.862
1888-05-01,1888,5,-0.504
1888-06-01,1888,6,-0.424
1888-07-01,1888,7,-0.449
1888-08-01,1888,8,-0.37
1888-09-01,1888,9,-0.526
1888-10-01,1888,10,-0.436
1888-11-01,1888,11,-0.553
1888-12-01,1888,12,-0.452
1889-01-01,1889,1,-0.663
1889-02-01,1889,2,-0.246
1889-03-01,1889,3,-0.653
1889-04-01,1889,4,-0.818
1889-05-01,1889,5,-0.664
1889-06-01,1889,6,-0.562
1889-07-01,1889,7,-0.515
1889-08-01,1889,8,-0.664
1889-09-01,1889,9,-0.911
1889-10-01,1889,10,-1.139
1889-11-01,1889,11,-0.871
1889-12-01,1889,12,-0.41
1890-01-01,1890,1,-0.105
1890-02-01,1890,2,-0.066
1890-03-01,1890,3,-0.199
1890-04-01,1890,4,-0.202
1890-05-01,1890,5,-0.336
1890-06-01,1890,6,-0.769
1890-07-01,1890,7,-0.917
1890-08-01,1890,8,-0.706
1890-09-01,1890,9,-1.091
1890-10-01,1890,10,-1.167
1890-11-01,1890,11,-0.906
1890-12-01,1890,12,-0.583
1891-01-01,1891,1,-0.319
1891-02-01,1891,2,-0.573
1891-03-01,1891,3,-0.612
1891-04-01,1891,4,-0.286
1891-05-01,1891,5,-0.325
1891-06-01,1891,6,-0.099
1891-07-01,1891,7,-0.302
1891-08-01,1891,8,-0.006
1891-09-01,1891,9,-0.067
1891-10-01,1891,10,-0.117
1891-11-01,1891,11,-0.13
1891-12-01,1891,12,0.068
1892-01-01,1892,1,-0.233
1892-02-01,1892,2,-0.323
1892-03-01,1892,3,-0.208
1892-04-01,1892,4,-0.318
1892-05-01,1892,5,-0.286
1892-06-01,1892,6,-0.487
1892-07-01,1892,7,-0.659
1892-08-01,1892,8,-1.041
1892-09-01,1892,9,-1.181
1892-10-01,1892,10,-0.815
1892-11-01,1892,11,-0.454
1892-12-01,1892,12,-0.496
1893-01-01,1893,1,-0.446
1893-02-01,1893,2,-0.469
1893-03-01,1893,3,-0.413
1893-04-01,1893,4,-0.583
1893-05-01,1893,5,-0.523
1893-06-01,1893,6,-0.526
1893-07-01,1893,7,-0.549
1893-08-01,1893,8,-0.757
1893-09-01,1893,9,-0.692
1893-10-01,1893,10,-0.796
1893-11-01,1893,11,-0.518
1893-12-01,1893,12,-0.364
1894-01-01,1894,1,-0.077
1894-02-01,1894,2,-0.261
1894-03-01,1894,3,-0.264
1894-04-01,1894,4,-0.316
1894-05-01,1894,5,-0.213
1894-06-01,1894,6,-0.095
1894-07-01,1894,7,-0.18
1894-08-01,1894,8,0.125
1894-09-01,1894,9,-0.329
1894-10-01,1894,10,-0.326
1894-11-01,1894,11,-0.275
1894-12-01,1894,12,-0.251
1895-01-01,1895,1,-0.184
1895-02-01,1895,2,-0.056
1895-03-01,1895,3,-0.108
1895-04-01,1895,4,-0.177
1895-05-01,1895,5,-0.157
1895-06-01,1895,6,-0.105
1895-07-01,1895,7,-0.41
1895-08-01,1895,8,-0.071
1895-09-01,1895,9,-0.306
1895-10-01,1895,10,-0.155
1895-11-01,1895,11,-0.482
1895-12-01,1895,12,-0.372
1896-01-01,1896,1,-0.386
1896-02-01,1896,2,-0.587
1896-03-01,1896,3,-0.562
1896-04-01,1896,4,-0.292
1896-05-01,1896,5,-0.216
1896-06-01,1896,6,-0.156
1896-07-01,1896,7,-0.1
1896-08-01,1896,8,-0.132
1896-09-01,1896,9,-0.011
1896-10-01,1896,10,0.302
1896-11-01,1896,11,0.04
1896-12-01,1896,12,0.097
1897-01-01,1897,1,-0.183
1897-02-01,1897,2,-0.314
1897-03-01,1897,3,-0.284
1897-04-01,1897,4,-0.178
1897-05-01,1897,5,-0.184
1897-06-01,1897,6,-0.252
1897-07-01,1897,7,-0.245
1897-08-01,1897,8,-0.22
1897-09-01,1897,9,-0.56
1897-10-01,1897,10,-1.125
1897-11-01,1897,11,-0.904
1897-12-01,1897,12,-0.744
1898-01-01,1898,1,-0.549
1898-02-01,1898,2,-0.445
1898-03-01,1898,3,-0.331
1898-04-01,1898,4,-0.379
1898-05-01,1898,5,-0.494
1898-06-01,1898,6,-0.432
1898-07-01,1898,7,-0.823
1898-08-01,1898,8,-0.819
1898-09-01,1898,9,-0.889
1898-10-01,1898,10,-0.917
1898-11-01,1898,11,-0.661
1898-12-01,1898,12,-0.473
1899-01-01,1899,1,-0.419
1899-02-01,1899,2,-0.293
1899-03-01,1899,3,-0.177
1899-04-01,1899,4,-0.13
1899-05-01,1899,5,-0.091
1899-06-01,1899,6,-0.375
1899-07-01,1899,7,-0.573
1899-08-01,1899,8,-0.452
1899-09-01,1899,9,-0.934
1899-10-01,1899,10,-0.428
1899-11-01,1899,11,-0.437
1899-12-01,1899,12,-0.743
1900-01-01,1900,1,-0.469
1900-02-01,1900,2,-0.294
1900-03-01,1900,3,-0.465
1900-04-01,1900,4,-0.319
1900-05-01,1900,5,-0.16
1900-06-01,1900,6,-0.042
1900-07-01,1900,7,-0.318
1900-08-01,1900,8,-0.49
1900-09-01,1900,9,-0.538
1900-10-01,1900,10,-0.429
1900-11-01,1900,11,-0.196
1900-12-01,1900,12,-0.633
1901-01-01,1901,1,-0.541
1901-02-01,1901,2,-0.868
1901-03-01,1901,3,-0.72
1901-04-01,1901,4,-0.513
1901-05-01,1901,5,-0.553
1901-06-01,1901,6,-0.618
1901-07-01,1901,7,-0.712
1901-08-01,1901,8,-0.825
1901-09-01,1901,9,-1.029
1901-10-01,1901,10,-0.774
1901-11-01,1901,11,-0.741
1901-12-01,1901,12,-0.681
1902-01-01,1902,1,-0.473
1902-02-01,1902,2,-0.453
1902-03-01,1902,3,-0.251
1902-04-01,1902,4,0.051
1902-05-01,1902,5,-0.042
1902-06-01,1902,6,-0.09
1902-07-01,1902,7,-0.07
1902-08-01,1902,8,0.333
1902-09-01,1902,9,0.209
1902-10-01,1902,10,-0.238
1902-11-01,1902,11,-0.047
1902-12-01,1902,12,-0.266
1903-01-01,1903,1,-0.479
1903-02-01,1903,2,-0.571
1903-03-01,1903,3,-0.365
1903-04-01,1903,4,-0.628
1903-05-01,1903,5,-0.267
1903-06-01,1903,6,-0.335
1903-07-01,1903,7,-0.614
1903-08-01,1903,8,-0.452
1903-09-01,1903,9,-0.69
1903-10-01,1903,10,-1.035
1903-11-01,1903,11,-0.628
1903-12-01,1903,12,-0.441
1904-01-01,1904,1,-0.219
1904-02-01,1904,2,-0.233
1904-03-01,1904,3,-0.218
1904-04-01,1904,4,-0.03
1904-05-01,1904,5,-0.258
1904-06-01,1904,6,-0.286
1904-07-01,1904,7,-0.287
1904-08-01,1904,8,-0.413
1904-09-01,1904,9,-0.678
1904-10-01,1904,10,-0.237
1904-11-01,1904,11,-0.352
1904-12-01,1904,12,-0.644
1905-01-01,1905,1,-0.601
1905-02-01,1905,2,-0.372
1905-03-01,1905,3,-0.472
1905-04-01,1905,4,-0.468
1905-05-01,1905,5,-0.205
1905-06-01,1905,6,-0.448
1905-07-01,1905,7,-0.275
1905-08-01,1905,8,-0.22
1905-09-01,1905,9,0.024
1905-10-01,1905,10,-0.462
1905-11-01,1905,11,-0.436
1905-12-01,1905,12,-0.56
1906-01-01,1906,1,-0.605
1906-02-01,1906,2,-0.485
1906-03-01,1906,3,-0.51
1906-04-01,1906,4,-0.788
1906-05-01,1906,5,-0.425
1906-06-01,1906,6,-0.39
1906-07-01,1906,7,-0.986
1906-08-01,1906,8,-1.085
1906-09-01,1906,9,-1.634
1906-10-01,1906,10,-1.012
1906-11-01,1906,11,-0.795
1906-12-01,1906,12,-0.349
1907-01-01,1907,1,-0.37
1907-02-01,1907,2,-0.185
1907-03-01,1907,3,-0.052
1907-04-01,1907,4,-0.367
1907-05-01,1907,5,-0.308
1907-06-01,1907,6,-0.346
1907-07-01,1907,7,-0.602
1907-08-01,1907,8,-0.933
1907-09-01,1907,9,-0.526
1907-10-01,1907,10,-0.403
1907-11-01,1907,11,-0.388
1907-12-01,1907,12,-0.221
1908-01-01,1908,1,-0.392
1908-02-01,1908,2,-0.35
1908-03-01,1908,3,-0.251
1908-04-01,1908,4,-0.789
1908-05-01,1908,5,-0.23
1908-06-01,1908,6,0.042
1908-07-01,1908,7,-0.598
1908-08-01,1908,8,-0.461
1908-09-01,1908,9,-0.317
1908-10-01,1908,10,-0.468
1908-11-01,1908,11,-0.507
1908-12-01,1908,12,-0.582
1909-01-01,1909,1,-0.733
1909-02-01,1909,2,-0.5
1909-03-01,1909,3,-0.559
1909-04-01,1909,4,-0.444
1909-05-01,1909,5,-0.801
1909-06-01,1909,6,-0.917
1909-07-01,1909,7,-1.032
1909-08-01,1909,8,-0.986
1909-09-01,1909,9,-0.919
1909-10-01,1909,10,-0.73
1909-11-01,1909,11,-0.424
1909-12-01,1909,12,-0.256
1910-01-01,1910,1,-0.551
1910-02-01,1910,2,-0.168
1910-03-01,1910,3,-0.489
1910-04-01,1910,4,-0.394
1910-05-01,1910,5,-0.531
1910-06-01,1910,6,-0.459
1910-07-01,1910,7,-1.036
1910-08-01,1910,8,-0.82
1910-09-01,1910,9,-1.022
1910-10-01,1910,10,-1.053
1910-11-01,1910,11,-0.682
1910-12-01,1910,12,-0.296
1911-01-01,1911,1,-0.195
1911-02-01,1911,2,-0.487
1911-03-01,1911,3,-0.735
1911-04-01,1911,4,-0.744
1911-05-01,1911,5,-0.435
1911-06-01,1911,6,-0.814
1911-07-01,1911,7,-0.774
1911-08-01,1911,8,-0.586
1911-09-01,1911,9,-0.544
1911-10-01,1911,10,-0.669
1911-11-01,1911,11,-0.229
1911-12-01,1911,12,-0.153
1912-01-01,1912,1,-0.252
1912-02-01,1912,2,-0.302
1912-03-01,1912,3,-0.052
1912-04-01,1912,4,-0.257
1912-05-01,1912,5,-0.061
1912-06-01,1912,6,-0.002
1912-07-01,1912,7,-0.672
1912-08-01,1912,8,-0.767
1912-09-01,1912,9,-0.725
1912-10-01,1912,10,-0.609
1912-11-01,1912,11,-0.734
1912-12-01,1912,12,-0.503
1913-01-01,1913,1,-0.236
1913-02-01,1913,2,-0.136
1913-03-01,1913,3,-0.135
1913-04-01,1913,4,-0.266
1913-05-01,1913,5,-0.187
1913-06-01,1913,6,0.101
1913-07-01,1913,7,-0.338
1913-08-01,1913,8,-0.482
1913-09-01,1913,9,-0.468
1913-10-01,1913,10,-0.135
1913-11-01,1913,11,-0.24
1913-12-01,1913,12,-0.248
1914-01-01,1914,1,-0.288
1914-02-01,1914,2,-0.172
1914-03-01,1914,3,-0.353
1914-04-01,1914,4,-0.238
1914-05-01,1914,5,-0.106
1914-06-01,1914,6,0.554
1914-07-01,1914,7,0.102
1914-08-01,1914,8,-0.024
1914-09-01,1914,9,-0.066
1914-10-01,1914,10,-0.057
1914-11-01,1914,11,-0.558
1914-12-01,1914,12,-0.711
1915-01-01,1915,1,-0.629
1915-02-01,1915,2,-0.688
1915-03-01,1915,3,-0.402
1915-04-01,1915,4,-0.28
