date,hour_utc,romi_pc1,romi_pc2,phase_space_x,phase_space_y,phase,amplitude
1991-01-01,0,0.12526,-0.06945,-0.06945,-0.12526,2,0.14323
1991-01-02,0,0.18542,-0.04887,-0.04887,-0.18542,2,0.19175
1991-01-03,0,0.2396,-0.03933,-0.03933,-0.2396,2,0.24281
1991-01-04,0,0.27446,0.0199,0.0199,-0.27446,3,0.27518
1991-01-05,0,0.27714,0.07555,0.07555,-0.27714,3,0.28725
1991-01-06,0,0.37999,0.23959,0.23959,-0.37999,3,0.44922
1991-01-07,0,0.42803,0.26655,0.26655,-0.42803,3,0.50424
1991-01-08,0,0.49339,0.34553,0.34553,-0.49339,3,0.60235
1991-01-09,0,0.50765,0.41978,0.41978,-0.50765,3,0.65873
1991-01-10,0,0.46603,0.45432,0.45432,-0.46603,3,0.65084
1991-01-11,0,0.43921,0.44696,0.44696,-0.43921,4,0.62664
1991-01-12,0,0.38635,0.44401,0.44401,-0.38635,4,0.58857
1991-01-13,0,0.36751,0.39319,0.39319,-0.36751,4,0.5382
1991-01-14,0,0.41747,0.31856,0.31856,-0.41747,3,0.52513
1991-01-15,0,0.42911,0.30929,0.30929,-0.42911,3,0.52896
1991-01-16,0,0.38285,0.33681,0.33681,-0.38285,3,0.50991
1991-01-17,0,0.30184,0.36904,0.36904,-0.30184,4,0.47676
1991-01-18,0,0.20248,0.42847,0.42847,-0.20248,4,0.4739
1991-01-19,0,0.18513,0.50673,0.50673,-0.18513,4,0.53949
1991-01-20,0,0.18808,0.66463,0.66463,-0.18808,4,0.69072
1991-01-21,0,0.16147,0.81402,0.81402,-0.16147,4,0.82988
1991-01-22,0,0.09035,0.96613,0.96613,-0.09035,4,0.97035
1991-01-23,0,-0.09186,1.09647,1.09647,0.09186,5,1.10031
1991-01-24,0,-0.25139,1.20131,1.20131,0.25139,5,1.22733
1991-01-25,0,-0.37571,1.24241,1.24241,0.37571,5,1.29798
1991-01-26,0,-0.56887,1.21328,1.21328,0.56887,5,1.34003
1991-01-27,0,-0.76543,1.21517,1.21517,0.76543,5,1.43615
1991-01-28,0,-0.87351,1.24032,1.24032,0.87351,5,1.51704
1991-01-29,0,-0.95656,1.20034,1.20034,0.95656,5,1.53487
