date,year,month,pdo
1870-01-01,1870,1,0.366
1870-02-01,1870,2,0.774
1870-03-01,1870,3,-0.311
1870-04-01,1870,4,-0.848
1870-05-01,1870,5,-0.663
1870-06-01,1870,6,-1.273
1870-07-01,1870,7,-0.195
1870-08-01,1870,8,0.284
1870-09-01,1870,9,0.438
1870-10-01,1870,10,-0.83
1870-11-01,1870,11,-0.828
1870-12-01,1870,12,-1.017
1871-01-01,1871,1,-0.147
1871-02-01,1871,2,-1.043
1871-03-01,1871,3,-0.371
1871-04-01,1871,4,-0.382
1871-05-01,1871,5,-0.909
1871-06-01,1871,6,-1.641
1871-07-01,1871,7,-0.988
1871-08-01,1871,8,-0.581
1871-09-01,1871,9,-0.365
1871-10-01,1871,10,-0.084
1871-11-01,1871,11,-0.523
1871-12-01,1871,12,-0.21
1872-01-01,1872,1,-0.927
1872-02-01,1872,2,-0.497
1872-03-01,1872,3,-0.261
1872-04-01,1872,4,-0.629
1872-05-01,1872,5,-0.455
1872-06-01,1872,6,-0.13
1872-07-01,1872,7,-0.131
1872-08-01,1872,8,-1.162
1872-09-01,1872,9,-0.9
1872-10-01,1872,10,-0.528
1872-11-01,1872,11,-0.85
1872-12-01,1872,12,-0.984
1873-01-01,1873,1,-0.524
1873-02-01,1873,2,-1.194
1873-03-01,1873,3,-1.074
1873-04-01,1873,4,-1.177
1873-05-01,1873,5,0.101
1873-06-01,1873,6,-0.311
1873-07-01,1873,7,0.214
1873-08-01,1873,8,-1.032
1873-09-01,1873,9,-0.286
1873-10-01,1873,10,-0.838
1873-11-01,1873,11,-0.952
1873-12-01,1873,12,-0.964
1874-01-01,1874,1,-0.921
1874-02-01,1874,2,-1.168
1874-03-01,1874,3,-1.305
1874-04-01,1874,4,0.102
1874-05-01,1874,5,-0.034
1874-06-01,1874,6,-0.355
1874-07-01,1874,7,-0.288
1874-08-01,1874,8,-0.789
1874-09-01,1874,9,-1.187
1874-10-01,1874,10,-0.597
1874-11-01,1874,11,-0.641
1874-12-01,1874,12,-1.152
1875-01-01,1875,1,-0.236
1875-02-01,1875,2,-1.01
1875-03-01,1875,3,-0.843
1875-04-01,1875,4,-0.8
1875-05-01,1875,5,-1.21
1875-06-01,1875,6,-1.114
1875-07-01,1875,7,-0.594
1875-08-01,1875,8,-1.074
1875-09-01,1875,9,-0.615
1875-10-01,1875,10,-0.012
1875-11-01,1875,11,0.651
1875-12-01,1875,12,-0.271
1876-01-01,1876,1,-1.008
1876-02-01,1876,2,-0.231
1876-03-01,1876,3,-0.549
