date,year,month,pmm
1948-01-01,1948,1,-1.36
1948-02-01,1948,2,-6.94
1948-03-01,1948,3,-6.13
1948-04-01,1948,4,-1.68
1948-05-01,1948,5,-0.13
1948-06-01,1948,6,-0.21
1948-07-01,1948,7,3.3
1948-08-01,1948,8,3.54
1948-09-01,1948,9,1.72
1948-10-01,1948,10,-2.05
1948-11-01,1948,11,-3.0
1948-12-01,1948,12,-1.57
1949-01-01,1949,1,-2.69
1949-02-01,1949,2,-3.08
1949-03-01,1949,3,-3.2
1949-04-01,1949,4,-3.76
1949-05-01,1949,5,-1.56
1949-06-01,1949,6,-0.33
1949-07-01,1949,7,1.95
1949-08-01,1949,8,1.59
1949-09-01,1949,9,-0.8
1949-10-01,1949,10,-1.06
1949-11-01,1949,11,-0.17
1949-12-01,1949,12,0.32
1950-01-01,1950,1,0.18
1950-02-01,1950,2,0.18
1950-03-01,1950,3,-0.81
1950-04-01,1950,4,-0.23
1950-05-01,1950,5,-0.22
1950-06-01,1950,6,0.28
1950-07-01,1950,7,0.45
1950-08-01,1950,8,-0.58
1950-09-01,1950,9,-0.31
1950-10-01,1950,10,-0.59
1950-11-01,1950,11,-0.45
1950-12-01,1950,12,0.98
1951-01-01,1951,1,-1.11
1951-02-01,1951,2,-1.69
1951-03-01,1951,3,-1.52
1951-04-01,1951,4,-0.74
1951-05-01,1951,5,0.16
1951-06-01,1951,6,-0.29
1951-07-01,1951,7,-2.28
1951-08-01,1951,8,-2.63
1951-09-01,1951,9,-2.12
1951-10-01,1951,10,-2.63
1951-11-01,1951,11,-3.36
1951-12-01,1951,12,-3.36
1952-01-01,1952,1,-2.77
1952-02-01,1952,2,-1.18
1952-03-01,1952,3,-1.59
1952-04-01,1952,4,-0.75
1952-05-01,1952,5,0.57
1952-06-01,1952,6,-0.4
1952-07-01,1952,7,-0.19
1952-08-01,1952,8,-0.02
1952-09-01,1952,9,-1.12
1952-10-01,1952,10,0.21
1952-11-01,1952,11,-0.41
1952-12-01,1952,12,-1.15
1953-01-01,1953,1,-2.23
1953-02-01,1953,2,-3.46
1953-03-01,1953,3,-3.63
1953-04-01,1953,4,-2.51
1953-05-01,1953,5,-2.68
1953-06-01,1953,6,-3.39
1953-07-01,1953,7,-2.38
1953-08-01,1953,8,-2.05
1953-09-01,1953,9,-3.7
1953-10-01,1953,10,-3.7
1953-11-01,1953,11,-3.42
1953-12-01,1953,12,-3.26
1954-01-01,1954,1,-0.73
1954-02-01,1954,2,0.35
1954-03-01,1954,3,1.01
1954-04-01,1954,4,4.78
1954-05-01,1954,5,4.35
1954-06-01,1954,6,2.25
1954-07-01,1954,7,1.84
1954-08-01,1954,8,1.37
1954-09-01,1954,9,0.88
1954-10-01,1954,10,0.34
1954-11-01,1954,11,-0.16
1954-12-01,1954,12,0.79
1955-01-01,1955,1,-0.75
1955-02-01,1955,2,-2.58
1955-03-01,1955,3,-1.88
1955-04-01,1955,4,-2.78
1955-05-01,1955,5,-1.96
1955-06-01,1955,6,-1.65
1955-07-01,1955,7,-1.75
1955-08-01,1955,8,-2.97
1955-09-01,1955,9,-1.71
1955-10-01,1955,10,-2.48
1955-11-01,1955,11,-1.73
1955-12-01,1955,12,-0.89
1956-01-01,1956,1,0.47
1956-02-01,1956,2,-0.45
1956-03-01,1956,3,-2.34
1956-04-01,1956,4,-2.24
1956-05-01,1956,5,-2.39
1956-06-01,1956,6,-3.68
1956-07-01,1956,7,-3.17
1956-08-01,1956,8,-1.95
1956-09-01,1956,9,-2.77
1956-10-01,1956,10,-2.25
