date,year,month,qbo_30,qbo_50
1979-01-01,1979,1,1.85,7.38
1979-02-01,1979,2,4.11,8.84
1979-03-01,1979,3,0.87,6.03
1979-04-01,1979,4,-3.58,5.86
1979-05-01,1979,5,-12.91,5.48
1979-06-01,1979,6,-19.61,1.43
1979-07-01,1979,7,-21.28,-5.54
1979-08-01,1979,8,-22.25,-8.78
1979-09-01,1979,9,-22.71,-10.56
1979-10-01,1979,10,-23.33,-11.28
1979-11-01,1979,11,-22.21,-11.08
1979-12-01,1979,12,-17.0,-10.58
1980-01-01,1980,1,-10.12,-8.64
1980-02-01,1980,2,-5.66,-8.84
1980-03-01,1980,3,-2.92,-7.99
1980-04-01,1980,4,2.3,-6.65
1980-05-01,1980,5,6.23,-4.7
1980-06-01,1980,6,7.32,-2.12
1980-07-01,1980,7,8.73,0.74
1980-08-01,1980,8,9.6,2.46
1980-09-01,1980,9,12.65,4.91
1980-10-01,1980,10,13.09,6.77
1980-11-01,1980,11,12.14,8.18
1980-12-01,1980,12,9.72,8.41
1981-01-01,1981,1,8.21,5.57
1981-02-01,1981,2,6.71,4.27
1981-03-01,1981,3,7.5,5.02
1981-04-01,1981,4,8.27,7.27
1981-05-01,1981,5,3.0,7.53
1981-06-01,1981,6,-3.5,4.25
1981-07-01,1981,7,-5.24,1.93
1981-08-01,1981,8,-8.25,-0.05
1981-09-01,1981,9,-8.6,-0.56
1981-10-01,1981,10,-9.54,-0.63
1981-11-01,1981,11,-9.63,-0.62
1981-12-01,1981,12,-12.32,-2.26
1982-01-01,1982,1,-12.53,-2.86
1982-02-01,1982,2,-14.72,-5.49
1982-03-01,1982,3,-16.68,-5.32
1982-04-01,1982,4,-15.56,-5.03
1982-05-01,1982,5,-15.27,-6.54
1982-06-01,1982,6,-15.95,-11.45
1982-07-01,1982,7,-8.97,-14.12
1982-08-01,1982,8,-1.6,-12.07
1982-09-01,1982,9,4.19,-8.06
1982-10-01,1982,10,8.26,-3.02
1982-11-01,1982,11,9.5,2.54
1982-12-01,1982,12,10.34,5.74
1983-01-01,1983,1,10.84,5.68
1983-02-01,1983,2,11.38,5.15
1983-03-01,1983,3,12.16,4.71
1983-04-01,1983,4,13.8,7.31
1983-05-01,1983,5,11.92,10.28
1983-06-01,1983,6,3.11,8.73
1983-07-01,1983,7,-3.4,5.71
1983-08-01,1983,8,-6.54,3.28
1983-09-01,1983,9,-7.76,2.8
1983-10-01,1983,10,-10.13,2.52
1983-11-01,1983,11,-10.3,1.96
1983-12-01,1983,12,-11.43,0.15
1984-01-01,1984,1,-10.66,-0.92
1984-02-01,1984,2,-11.35,-1.57
1984-03-01,1984,3,-12.99,-1.69
1984-04-01,1984,4,-14.59,-0.04
1984-05-01,1984,5,-15.06,-1.87
