date,season,year,roni
1950-01-01,DJF,1950,-1.19
1950-02-01,JFM,1950,-1.08
1950-03-01,FMA,1950,-0.96
1950-04-01,MAM,1950,-1.0
1950-05-01,AMJ,1950,-0.99
1950-06-01,MJJ,1950,-0.75
1950-07-01,JJA,1950,-0.38
1950-08-01,JAS,1950,-0.32
1950-09-01,ASO,1950,-0.29
1950-10-01,SON,1950,-0.38
1950-11-01,OND,1950,-0.36
1950-12-01,NDJ,1950,-0.5
1951-01-01,DJF,1951,-0.28
1951-02-01,JFM,1951,0.09
1951-03-01,FMA,1951,0.48
1951-04-01,MAM,1951,0.63
1951-05-01,AMJ,1951,0.59
1951-06-01,MJJ,1951,0.69
1951-07-01,JJA,1951,0.79
1951-08-01,JAS,1951,0.97
1951-09-01,ASO,1951,1.04
1951-10-01,SON,1951,0.98
1951-11-01,OND,1951,0.94
1951-12-01,NDJ,1951,0.71
1952-01-01,DJF,1952,0.65
1952-02-01,JFM,1952,0.33
1952-03-01,FMA,1952,0.46
1952-04-01,MAM,1952,0.24
1952-05-01,AMJ,1952,-0.03
1952-06-01,MJJ,1952,-0.45
1952-07-01,JJA,1952,-0.41
1952-08-01,JAS,1952,-0.14
1952-09-01,ASO,1952,0.08
1952-10-01,SON,1952,0.04
1952-11-01,OND,1952,-0.1
1952-12-01,NDJ,1952,0.1
1953-01-01,DJF,1953,0.4
1953-02-01,JFM,1953,0.67
1953-03-01,FMA,1953,0.68
1953-04-01,MAM,1953,0.72
1953-05-01,AMJ,1953,0.94
1953-06-01,MJJ,1953,0.84
1953-07-01,JJA,1953,0.68
1953-08-01,JAS,1953,0.73
1953-09-01,ASO,1953,0.65
1953-10-01,SON,1953,0.84
1953-11-01,OND,1953,0.57
1953-12-01,NDJ,1953,0.66
1954-01-01,DJF,1954,0.63
1954-02-01,JFM,1954,0.63
1954-03-01,FMA,1954,0.31
1954-04-01,MAM,1954,-0.02
1954-05-01,AMJ,1954,-0.24
1954-06-01,MJJ,1954,-0.21
1954-07-01,JJA,1954,-0.45
1954-08-01,JAS,1954,-0.62
1954-09-01,ASO,1954,-0.54
1954-10-01,SON,1954,-0.31
1954-11-01,OND,1954,-0.09
1954-12-01,NDJ,1954,-0.18
1955-01-01,DJF,1955,-0.12
1955-02-01,JFM,1955,-0.14
1955-03-01,FMA,1955,-0.13
1955-04-01,MAM,1955,-0.38
1955-05-01,AMJ,1955,-0.36
1955-06-01,MJJ,1955,-0.52
1955-07-01,JJA,1955,-0.4
1955-08-01,JAS,1955,-0.7
1955-09-01,ASO,1955,-0.9
1955-10-01,SON,1955,-1.31
1955-11-01,OND,1955,-1.4
1955-12-01,NDJ,1955,-1.31
1956-01-01,DJF,1956,-0.81
1956-02-01,JFM,1956,-0.4
1956-03-01,FMA,1956,-0.12
1956-04-01,MAM,1956,-0.09
1956-05-01,AMJ,1956,-0.03
1956-06-01,MJJ,1956,-0.01
1956-07-01,JJA,1956,-0.15
1956-08-01,JAS,1956,-0.18
1956-09-01,ASO,1956,-0.12
1956-10-01,SON,1956,-0.14
1956-11-01,OND,1956,-0.14
1956-12-01,NDJ,1956,-0.17
1957-01-01,DJF,1957,0.0
1957-02-01,JFM,1957,0.22
1957-03-01,FMA,1957,0.53
1957-04-01,MAM,1957,0.83
1957-05-01,AMJ,1957,0.88
1957-06-01,MJJ,1957,0.9
1957-07-01,JJA,1957,1.03
1957-08-01,JAS,1957,1.05
1957-09-01,ASO,1957,1.14
1957-10-01,SON,1957,1.16
1957-11-01,OND,1957,1.45
1957-12-01,NDJ,1957,1.75
1958-01-01,DJF,1958,1.89
1958-02-01,JFM,1958,1.79
1958-03-01,FMA,1958,1.31
1958-04-01,MAM,1958,0.95
1958-05-01,AMJ,1958,0.66
1958-06-01,MJJ,1958,0.56
1958-07-01,JJA,1958,0.45
1958-08-01,JAS,1958,0.26
1958-09-01,ASO,1958,0.23
1958-10-01,SON,1958,0.24
1958-11-01,OND,1958,0.36
1958-12-01,NDJ,1958,0.64
1959-01-01,DJF,1959,0.77
1959-02-01,JFM,1959,0.83
1959-03-01,FMA,1959,0.64
1959-04-01,MAM,1959,0.48
1959-05-01,AMJ,1959,0.33
1959-06-01,MJJ,1959,0.09
1959-07-01,JJA,1959,-0.11
1959-08-01,JAS,1959,-0.23
1959-09-01,ASO,1959,-0.07
1959-10-01,SON,1959,0.04
1959-11-01,OND,1959,0.24
1959-12-01,NDJ,1959,0.22
1960-01-01,DJF,1960,0.2
1960-02-01,JFM,1960,0.19
1960-03-01,FMA,1960,0.21
1960-04-01,MAM,1960,0.25
1960-05-01,AMJ,1960,0.16
