date,year,month,day,extent,climatology_1981_2010,anomaly
1978-10-26,1978,10,26,17.624,17.681,-0.057
1978-10-28,1978,10,28,17.803,17.555,0.248
1978-10-30,1978,10,30,17.67,17.449,0.221
1978-11-01,1978,11,1,17.527,17.312,0.215
1978-11-03,1978,11,3,17.486,17.153,0.333
1978-11-05,1978,11,5,17.343,17.011,0.332
1978-11-07,1978,11,7,17.157,16.848,0.309
1978-11-09,1978,11,9,17.028,16.667,0.361
1978-11-11,1978,11,11,16.815,16.472,0.343
1978-11-13,1978,11,13,16.371,16.272,0.099
1978-11-15,1978,11,15,16.176,16.061,0.115
1978-11-17,1978,11,17,15.52,15.797,-0.277
1978-11-19,1978,11,19,15.267,15.509,-0.242
1978-11-21,1978,11,21,15.027,15.213,-0.186
1978-11-23,1978,11,23,14.681,14.896,-0.215
1978-11-25,1978,11,25,14.449,14.575,-0.126
1978-11-27,1978,11,27,13.98,14.239,-0.259
1978-11-29,1978,11,29,13.619,13.868,-0.249
1978-12-01,1978,12,1,13.33,13.513,-0.183
1978-12-03,1978,12,3,13.097,13.105,-0.008
1978-12-05,1978,12,5,12.829,12.703,0.126
1978-12-07,1978,12,7,12.436,12.29,0.146
1978-12-09,1978,12,9,11.963,11.859,0.104
1978-12-11,1978,12,11,11.652,11.436,0.216
1978-12-13,1978,12,13,11.148,10.998,0.15
1978-12-15,1978,12,15,10.664,10.498,0.166
1978-12-17,1978,12,17,10.239,9.984,0.255
1978-12-19,1978,12,19,9.758,9.48,0.278
1978-12-21,1978,12,21,9.362,9.039,0.323
1978-12-23,1978,12,23,8.706,8.631,0.075
1978-12-25,1978,12,25,8.362,8.224,0.138
1978-12-27,1978,12,27,7.907,7.811,0.096
1978-12-29,1978,12,29,7.588,7.406,0.182
1978-12-31,1978,12,31,7.283,7.059,0.224
1979-01-02,1979,1,2,6.945,6.808,0.137
1979-01-04,1979,1,4,6.838,6.451,0.387
1979-01-06,1979,1,6,6.638,6.142,0.496
1979-01-08,1979,1,8,6.27,5.838,0.432
1979-01-10,1979,1,10,6.138,5.547,0.591
1979-01-12,1979,1,12,5.952,5.305,0.647
1979-01-14,1979,1,14,5.564,5.047,0.517
1979-01-16,1979,1,16,5.379,4.819,0.56
1979-01-18,1979,1,18,5.233,4.614,0.619
1979-01-20,1979,1,20,4.984,4.427,0.557
1979-01-22,1979,1,22,4.609,4.24,0.369
1979-01-24,1979,1,24,4.397,4.074,0.323
1979-01-26,1979,1,26,4.184,3.929,0.255
1979-01-28,1979,1,28,4.004,3.808,0.196
1979-01-30,1979,1,30,3.898,3.665,0.233
1979-02-01,1979,2,1,3.704,3.534,0.17
1979-02-03,1979,2,3,3.516,3.43,0.086
1979-02-05,1979,2,5,3.367,3.326,0.041
1979-02-07,1979,2,7,3.326,3.227,0.099
1979-02-09,1979,2,9,3.212,3.141,0.071
1979-02-11,1979,2,11,3.043,3.064,-0.021
1979-02-13,1979,2,13,3.049,2.998,0.051
1979-02-15,1979,2,15,2.916,2.935,-0.019
1979-02-17,1979,2,17,2.911,2.914,-0.003
1979-02-19,1979,2,19,2.95,2.881,0.069
1979-02-21,1979,2,21,2.945,2.881,0.064
1979-02-23,1979,2,23,2.924,2.892,0.032
1979-02-25,1979,2,25,2.996,2.907,0.089
1979-02-27,1979,2,27,3.116,2.96,0.156
1979-03-01,1979,3,1,3.248,3.061,0.187
1979-03-03,1979,3,3,3.079,3.166,-0.087
1979-03-05,1979,3,5,3.228,3.253,-0.025
1979-03-07,1979,3,7,3.308,3.37,-0.062
1979-03-09,1979,3,9,3.366,3.507,-0.141
1979-03-11,1979,3,11,3.443,3.658,-0.215
1979-03-13,1979,3,13,3.594,3.815,-0.221
1979-03-15,1979,3,15,3.721,3.966,-0.245
1979-03-17,1979,3,17,3.832,4.11,-0.278
1979-03-19,1979,3,19,4.091,4.271,-0.18
1979-03-21,1979,3,21,4.248,4.441,-0.193
1979-03-23,1979,3,23,4.5,4.613,-0.113
1979-03-25,1979,3,25,4.818,4.798,0.02
1979-03-27,1979,3,27,4.894,4.956,-0.062
1979-03-29,1979,3,29,5.208,5.139,0.069
1979-03-31,1979,3,31,5.411,5.312,0.099
1979-04-02,1979,4,2,5.649,5.508,0.141
1979-04-04,1979,4,4,5.826,5.708,0.118
1979-04-06,1979,4,6,6.152,5.908,0.244
1979-04-08,1979,4,8,6.409,6.125,0.284
1979-04-10,1979,4,10,6.806,6.329,0.477
1979-04-12,1979,4,12,7.149,6.549,0.6
1979-04-14,1979,4,14,7.309,6.757,0.552
1979-04-16,1979,4,16,7.587,6.977,0.61
1979-04-18,1979,4,18,7.742,7.194,0.548
1979-04-20,1979,4,20,8.01,7.414,0.596
1979-04-22,1979,4,22,8.273,7.624,0.649
1979-04-24,1979,4,24,8.572,7.84,0.732
1979-04-26,1979,4,26,8.791,8.05,0.741
1979-04-28,1979,4,28,8.97,8.28,0.69
1979-04-30,1979,4,30,9.038,8.497,0.541
1979-05-02,1979,5,2,9.162,8.71,0.452
1979-05-04,1979,5,4,9.498,8.94,0.558
1979-05-06,1979,5,6,9.968,9.161,0.807
1979-05-08,1979,5,8,9.848,9.392,0.456
1979-05-10,1979,5,10,10.109,9.588,0.521
1979-05-12,1979,5,12,10.342,9.811,0.531
1979-05-14,1979,5,14,10.656,10.039,0.617
1979-05-16,1979,5,16,10.953,10.26,0.693
1979-05-18,1979,5,18,11.145,10.47,0.675
1979-05-20,1979,5,20,11.273,10.708,0.565
1979-05-22,1979,5,22,11.458,10.909,0.549
1979-05-24,1979,5,24,11.634,11.119,0.515
1979-05-26,1979,5,26,11.868,11.321,0.547
1979-05-28,1979,5,28,12.116,11.532,0.584
1979-05-30,1979,5,30,12.37,11.732,0.638
1979-06-01,1979,6,1,12.654,11.978,0.676
1979-06-03,1979,6,3,13.061,12.168,0.893
1979-06-05,1979,6,5,13.24,12.383,0.857
1979-06-07,1979,6,7,13.452,12.581,0.871
1979-06-09,1979,6,9,13.523,12.792,0.731
1979-06-11,1979,6,11,13.661,12.987,0.674
1979-06-13,1979,6,13,13.748,13.172,0.576
1979-06-15,1979,6,15,13.952,13.384,0.568
1979-06-17,1979,6,17,14.26,13.597,0.663
1979-06-19,1979,6,19,14.588,13.796,0.792
1979-06-21,1979,6,21,14.909,13.991,0.918
1979-06-23,1979,6,23,15.227,14.186,1.041
1979-06-25,1979,6,25,15.371,14.37,1.001
1979-06-27,1979,6,27,15.513,14.524,0.989
1979-06-29,1979,6,29,15.646,14.709,0.937
1979-07-01,1979,7,1,15.685,14.896,0.789
1979-07-03,1979,7,3,15.779,15.039,0.74
1979-07-05,1979,7,5,15.896,15.187,0.709
1979-07-07,1979,7,7,15.947,15.329,0.618
1979-07-09,1979,7,9,16.128,15.482,0.646
1979-07-11,1979,7,11,16.235,15.652,0.583
1979-07-13,1979,7,13,16.408,15.839,0.569
1979-07-15,1979,7,15,16.588,15.971,0.617
1979-07-17,1979,7,17,16.661,16.084,0.577
1979-07-19,1979,7,19,16.794,16.257,0.537
1979-07-21,1979,7,21,16.864,16.437,0.427
1979-07-23,1979,7,23,16.93,16.591,0.339
1979-07-25,1979,7,25,17.144,16.69,0.454
1979-07-27,1979,7,27,17.042,16.801,0.241
1979-07-29,1979,7,29,17.11,16.929,0.181
1979-07-31,1979,7,31,17.059,17.028,0.031
1979-08-02,1979,8,2,16.944,17.135,-0.191
1979-08-04,1979,8,4,17.022,17.236,-0.214
1979-08-06,1979,8,6,16.983,17.35,-0.367
1979-08-08,1979,8,8,17.0,17.481,-0.481
1979-08-10,1979,8,10,17.181,17.547,-0.366
1979-08-12,1979,8,12,17.506,17.642,-0.136
1979-08-14,1979,8,14,17.62,17.738,-0.118
1979-08-16,1979,8,16,17.876,17.827,0.049
1979-08-18,1979,8,18,18.118,17.867,0.251
1979-08-20,1979,8,20,18.136,17.924,0.212
1979-08-22,1979,8,22,18.283,17.983,0.3
1979-08-24,1979,8,24,18.268,18.053,0.215
1979-08-26,1979,8,26,18.203,18.145,0.058
1979-08-28,1979,8,28,18.159,18.195,-0.036
1979-08-30,1979,8,30,18.175,18.241,-0.066
1979-09-01,1979,9,1,18.187,18.288,-0.101
1979-09-03,1979,9,3,18.197,18.333,-0.136
1979-09-05,1979,9,5,18.295,18.373,-0.078
1979-09-07,1979,9,7,18.28,18.416,-0.136
1979-09-09,1979,9,9,18.215,18.47,-0.255
1979-09-11,1979,9,11,18.264,18.502,-0.238
1979-09-13,1979,9,13,18.361,18.522,-0.161
1979-09-15,1979,9,15,18.326,18.533,-0.207
1979-09-17,1979,9,17,18.105,18.565,-0.46
1979-09-19,1979,9,19,17.978,18.572,-0.594
1979-09-21,1979,9,21,18.117,18.576,-0.459
1979-09-23,1979,9,23,17.973,18.57,-0.597
1979-09-25,1979,9,25,18.118,18.566,-0.448
1979-09-27,1979,9,27,18.26,18.541,-0.281
1979-09-29,1979,9,29,18.257,18.525,-0.268
1979-10-01,1979,10,1,18.25,18.508,-0.258
1979-10-03,1979,10,3,18.311,18.476,-0.165
1979-10-05,1979,10,5,18.275,18.44,-0.165
1979-10-07,1979,10,7,18.109,18.394,-0.285
1979-10-09,1979,10,9,18.16,18.329,-0.169
1979-10-11,1979,10,11,18.022,18.287,-0.265
1979-10-13,1979,10,13,18.077,18.235,-0.158
1979-10-15,1979,10,15,17.961,18.193,-0.232
1979-10-17,1979,10,17,17.95,18.116,-0.166
1979-10-19,1979,10,19,17.777,18.012,-0.235
1979-10-21,1979,10,21,17.738,17.921,-0.183
1979-10-23,1979,10,23,17.598,17.833,-0.235
1979-10-25,1979,10,25,17.403,17.736,-0.333
1979-10-27,1979,10,27,17.274,17.633,-0.359
1979-10-29,1979,10,29,17.206,17.509,-0.303
1979-10-31,1979,10,31,17.017,17.367,-0.35
1979-11-02,1979,11,2,16.945,17.229,-0.284
1979-11-04,1979,11,4,16.767,17.081,-0.314
1979-11-06,1979,11,6,16.71,16.934,-0.224
1979-11-08,1979,11,8,16.537,16.762,-0.225
1979-11-10,1979,11,10,16.266,16.562,-0.296
1979-11-12,1979,11,12,15.947,16.378,-0.431
1979-11-14,1979,11,14,15.729,16.175,-0.446
1979-11-16,1979,11,16,15.481,15.925,-0.444
1979-11-18,1979,11,18,15.256,15.665,-0.409
1979-11-20,1979,11,20,14.984,15.368,-0.384
1979-11-22,1979,11,22,14.682,15.069,-0.387
1979-11-24,1979,11,24,14.202,14.74,-0.538
1979-11-26,1979,11,26,13.82,14.417,-0.597
1979-11-28,1979,11,28,13.569,14.055,-0.486
1979-11-30,1979,11,30,13.161,13.685,-0.524
1979-12-02,1979,12,2,12.893,13.294,-0.401
1979-12-04,1979,12,4,12.471,12.904,-0.433
1979-12-06,1979,12,6,12.042,12.495,-0.453
1979-12-08,1979,12,8,11.457,12.068,-0.611
1979-12-10,1979,12,10,10.844,11.659,-0.815
1979-12-12,1979,12,12,10.34,11.222,-0.882
1979-12-14,1979,12,14,9.793,10.755,-0.962
1979-12-16,1979,12,16,9.125,10.247,-1.122
1979-12-18,1979,12,18,8.307,9.732,-1.425
1979-12-20,1979,12,20,7.891,9.255,-1.364
1979-12-22,1979,12,22,7.405,8.835,-1.43
1979-12-24,1979,12,24,6.842,8.416,-1.574
1979-12-26,1979,12,26,6.607,8.018,-1.411
1979-12-28,1979,12,28,6.396,7.624,-1.228
1979-12-30,1979,12,30,6.124,7.222,-1.098
1980-01-01,1980,1,1,5.967,6.999,-1.032
1980-01-03,1980,1,3,5.674,6.621,-0.947
1980-01-05,1980,1,5,5.584,6.296,-0.712
1980-01-07,1980,1,7,5.329,5.999,-0.67
1980-01-09,1980,1,9,5.0,5.681,-0.681
1980-01-11,1980,1,11,4.874,5.423,-0.549
1980-01-13,1980,1,13,4.682,5.16,-0.478
1980-01-15,1980,1,15,4.569,4.926,-0.357
1980-01-17,1980,1,17,4.419,4.709,-0.29
1980-01-19,1980,1,19,4.319,4.521,-0.202
1980-01-21,1980,1,21,4.115,4.335,-0.22
1980-01-23,1980,1,23,3.986,4.154,-0.168
1980-01-25,1980,1,25,3.801,3.998,-0.197
1980-01-27,1980,1,27,3.664,3.861,-0.197
1980-01-29,1980,1,29,3.513,3.734,-0.221
1980-01-31,1980,1,31,3.496,3.605,-0.109
1980-02-02,1980,2,2,3.355,3.489,-0.134
1980-02-04,1980,2,4,3.218,3.377,-0.159
1980-02-06,1980,2,6,3.124,3.28,-0.156
1980-02-08,1980,2,8,3.009,3.181,-0.172
1980-02-10,1980,2,10,2.929,3.097,-0.168
1980-02-12,1980,2,12,2.91,3.025,-0.115
1980-02-14,1980,2,14,2.69,2.969,-0.279
1980-02-16,1980,2,16,2.676,2.918,-0.242
1980-02-18,1980,2,18,2.629,2.903,-0.274
1980-02-20,1980,2,20,2.591,2.876,-0.285
1980-02-22,1980,2,22,2.609,2.885,-0.276
1980-02-24,1980,2,24,2.583,2.889,-0.306
1980-02-26,1980,2,26,2.521,2.931,-0.41
1980-02-28,1980,2,28,2.613,2.994,-0.381
1980-03-01,1980,3,1,2.576,3.061,-0.485
1980-03-03,1980,3,3,2.672,3.166,-0.494
1980-03-05,1980,3,5,2.839,3.253,-0.414
1980-03-07,1980,3,7,2.944,3.37,-0.426
1980-03-09,1980,3,9,3.026,3.507,-0.481
1980-03-11,1980,3,11,3.051,3.658,-0.607
1980-03-13,1980,3,13,3.162,3.815,-0.653
1980-03-15,1980,3,15,3.256,3.966,-0.71
1980-03-17,1980,3,17,3.312,4.11,-0.798
1980-03-19,1980,3,19,3.396,4.271,-0.875
1980-03-21,1980,3,21,3.416,4.441,-1.025
1980-03-23,1980,3,23,3.515,4.613,-1.098
1980-03-25,1980,3,25,3.628,4.798,-1.17
1980-03-27,1980,3,27,3.79,4.956,-1.166
1980-03-29,1980,3,29,3.966,5.139,-1.173
1980-03-31,1980,3,31,4.169,5.312,-1.143
1980-04-02,1980,4,2,4.264,5.508,-1.244
1980-04-04,1980,4,4,4.348,5.708,-1.36
1980-04-06,1980,4,6,4.563,5.908,-1.345
1980-04-08,1980,4,8,4.708,6.125,-1.417
1980-04-10,1980,4,10,4.76,6.329,-1.569
1980-04-12,1980,4,12,4.937,6.549,-1.612
1980-04-14,1980,4,14,5.026,6.757,-1.731
1980-04-16,1980,4,16,5.197,6.977,-1.78
1980-04-18,1980,4,18,5.465,7.194,-1.729
1980-04-20,1980,4,20,5.726,7.414,-1.688
1980-04-22,1980,4,22,6.019,7.624,-1.605
1980-04-24,1980,4,24,6.215,7.84,-1.625
1980-04-26,1980,4,26,6.34,8.05,-1.71
1980-04-28,1980,4,28,6.626,8.28,-1.654
1980-04-30,1980,4,30,6.881,8.497,-1.616
1980-05-02,1980,5,2,7.174,8.71,-1.536
1980-05-04,1980,5,4,7.375,8.94,-1.565
1980-05-06,1980,5,6,7.682,9.161,-1.479
1980-05-08,1980,5,8,7.933,9.392,-1.459
1980-05-10,1980,5,10,8.259,9.588,-1.329
1980-05-12,1980,5,12,8.466,9.811,-1.345
1980-05-14,1980,5,14,8.557,10.039,-1.482
1980-05-16,1980,5,16,8.914,10.26,-1.346
1980-05-18,1980,5,18,9.087,10.47,-1.383
1980-05-20,1980,5,20,9.3,10.708,-1.408
1980-05-22,1980,5,22,9.588,10.909,-1.321
1980-05-24,1980,5,24,9.832,11.119,-1.287
1980-05-26,1980,5,26,10.063,11.321,-1.258
1980-05-28,1980,5,28,10.207,11.532,-1.325
1980-05-30,1980,5,30,10.413,11.732,-1.319
