date,year,month,tpi
1854-01-01,1854,1,0.356
1854-02-01,1854,2,0.026
1854-03-01,1854,3,-0.043
1854-04-01,1854,4,0.141
1854-05-01,1854,5,0.234
1854-06-01,1854,6,0.339
1854-07-01,1854,7,-0.05
1854-08-01,1854,8,-0.685
1854-09-01,1854,9,-0.395
1854-10-01,1854,10,-0.744
1854-11-01,1854,11,-0.708
1854-12-01,1854,12,-1.07
1855-01-01,1855,1,-0.319
1855-02-01,1855,2,0.199
1855-03-01,1855,3,0.199
1855-04-01,1855,4,-0.213
1855-05-01,1855,5,-0.494
1855-06-01,1855,6,-0.537
1855-07-01,1855,7,-0.287
1855-08-01,1855,8,0.403
1855-09-01,1855,9,0.762
1855-10-01,1855,10,0.402
1855-11-01,1855,11,0.324
1855-12-01,1855,12,0.504
1856-01-01,1856,1,0.604
1856-02-01,1856,2,0.444
1856-03-01,1856,3,0.542
1856-04-01,1856,4,-0.237
1856-05-01,1856,5,-0.295
1856-06-01,1856,6,-0.342
1856-07-01,1856,7,-0.453
1856-08-01,1856,8,-0.711
1856-09-01,1856,9,-0.674
1856-10-01,1856,10,-0.766
1856-11-01,1856,11,-0.988
1856-12-01,1856,12,-1.207
1857-01-01,1857,1,-1.393
1857-02-01,1857,2,-1.172
1857-03-01,1857,3,-0.913
1857-04-01,1857,4,-0.663
1857-05-01,1857,5,-0.168
1857-06-01,1857,6,0.233
1857-07-01,1857,7,0.157
1857-08-01,1857,8,-0.144
1857-09-01,1857,9,-0.188
1857-10-01,1857,10,-0.207
1857-11-01,1857,11,0.129
1857-12-01,1857,12,0.189
1858-01-01,1858,1,0.165
1858-02-01,1858,2,0.287
1858-03-01,1858,3,-0.051
1858-04-01,1858,4,0.054
1858-05-01,1858,5,0.353
1858-06-01,1858,6,1.035
1858-07-01,1858,7,0.774
1858-08-01,1858,8,0.647
1858-09-01,1858,9,0.37
1858-10-01,1858,10,0.526
1858-11-01,1858,11,0.212
1858-12-01,1858,12,-0.316
1859-01-01,1859,1,-0.415
1859-02-01,1859,2,-0.526
1859-03-01,1859,3,-0.442
1859-04-01,1859,4,-0.674
1859-05-01,1859,5,-0.531
1859-06-01,1859,6,-0.636
1859-07-01,1859,7,-0.385
1859-08-01,1859,8,-0.191
1859-09-01,1859,9,-0.42
1859-10-01,1859,10,-0.462
1859-11-01,1859,11,-0.353
1859-12-01,1859,12,-0.354
1860-01-01,1860,1,-0.559
1860-02-01,1860,2,-0.572
1860-03-01,1860,3,-0.517
1860-04-01,1860,4,-0.711
1860-05-01,1860,5,-0.662
1860-06-01,1860,6,-0.402
1860-07-01,1860,7,-0.015
1860-08-01,1860,8,-0.324
1860-09-01,1860,9,-0.503
1860-10-01,1860,10,-1.198
1860-11-01,1860,11,-0.962
1860-12-01,1860,12,-0.722
1861-01-01,1861,1,-0.702
1861-02-01,1861,2,-0.481
1861-03-01,1861,3,-0.204
1861-04-01,1861,4,-0.77
1861-05-01,1861,5,-0.574
1861-06-01,1861,6,-0.23
1861-07-01,1861,7,-0.284
1861-08-01,1861,8,-0.331
1861-09-01,1861,9,-0.873
1861-10-01,1861,10,-0.887
1861-11-01,1861,11,-1.024
1861-12-01,1861,12,-0.97
1862-01-01,1862,1,-0.935
1862-02-01,1862,2,-0.641
1862-03-01,1862,3,-0.662
1862-04-01,1862,4,-0.675
1862-05-01,1862,5,-0.833
1862-06-01,1862,6,-0.924
1862-07-01,1862,7,-0.542
1862-08-01,1862,8,-0.394
1862-09-01,1862,9,-0.095
1862-10-01,1862,10,-0.429
1862-11-01,1862,11,-0.393
1862-12-01,1862,12,-0.733
1863-01-01,1863,1,-0.743
1863-02-01,1863,2,-0.407
1863-03-01,1863,3,-0.773
1863-04-01,1863,4,-0.823
1863-05-01,1863,5,-0.63
1863-06-01,1863,6,-0.726
1863-07-01,1863,7,-0.072
1863-08-01,1863,8,-0.244
1863-09-01,1863,9,-0.18
1863-10-01,1863,10,-0.326
1863-11-01,1863,11,-0.084
1863-12-01,1863,12,-0.175
1864-01-01,1864,1,-0.341
1864-02-01,1864,2,-0.455
1864-03-01,1864,3,-0.655
1864-04-01,1864,4,-0.625
1864-05-01,1864,5,-0.529
1864-06-01,1864,6,-0.171
1864-07-01,1864,7,0.008
1864-08-01,1864,8,-0.174
1864-09-01,1864,9,-0.132
1864-10-01,1864,10,-0.014
1864-11-01,1864,11,-0.095
1864-12-01,1864,12,0.08
1865-01-01,1865,1,-0.793
1865-02-01,1865,2,-0.319
1865-03-01,1865,3,-0.151
1865-04-01,1865,4,-0.356
1865-05-01,1865,5,-0.297
1865-06-01,1865,6,-0.53
1865-07-01,1865,7,-0.729
1865-08-01,1865,8,-0.552
1865-09-01,1865,9,-0.473
1865-10-01,1865,10,-0.501
1865-11-01,1865,11,-0.498
1865-12-01,1865,12,-0.43
1866-01-01,1866,1,-0.588
1866-02-01,1866,2,-0.624
1866-03-01,1866,3,-1.154
1866-04-01,1866,4,-0.77
1866-05-01,1866,5,-0.387
1866-06-01,1866,6,-0.416
1866-07-01,1866,7,-0.335
1866-08-01,1866,8,-0.254
1866-09-01,1866,9,0.03
1866-10-01,1866,10,-0.491
1866-11-01,1866,11,-0.551
1866-12-01,1866,12,-0.379
1867-01-01,1867,1,-0.449
1867-02-01,1867,2,-0.739
1867-03-01,1867,3,-1.076
1867-04-01,1867,4,-0.971
1867-05-01,1867,5,0.258
1867-06-01,1867,6,-0.003
1867-07-01,1867,7,-0.136
1867-08-01,1867,8,-0.32
1867-09-01,1867,9,-0.638
1867-10-01,1867,10,-0.435
1867-11-01,1867,11,-0.043
1867-12-01,1867,12,-0.078
1868-01-01,1868,1,-0.265
1868-02-01,1868,2,-0.03
1868-03-01,1868,3,-0.155
1868-04-01,1868,4,-0.471
1868-05-01,1868,5,-0.366
1868-06-01,1868,6,-0.627
